latitude,longitude,region,map_sheet_no,mangrove_area_ha,cell_area_ha,mangrove_cover_pct,mangrove_protection_factor
23.6875,68.5625,"Gujarat, Daman & Diu",41A10NW,13.4935,17650.6798,0.0764,0.0008
23.5625,68.4375,"Gujarat, Daman & Diu",41A06SE,930.9471,17667.152,5.2694,0.0527
23.5625,68.5625,"Gujarat, Daman & Diu",41A10SW,0.0,17667.152,0.0,0.0
23.4375,68.4375,"Gujarat, Daman & Diu",41A07NE,2648.011,17683.5409,14.9744,0.1497
23.4375,68.5625,"Gujarat, Daman & Diu",41A11NW,307.6827,17683.5409,1.7399,0.0174
23.3125,68.5625,"Gujarat, Daman & Diu",41A11SW,1588.6101,17699.8465,8.9753,0.0898
23.3125,68.6875,"Gujarat, Daman & Diu",41A11SE,364.065,17699.8465,2.0569,0.0206
23.1875,68.5625,"Gujarat, Daman & Diu",41A12NW,94.7531,17716.0687,0.5348,0.0053
23.1875,68.6875,"Gujarat, Daman & Diu",41A12NE,174.5117,17716.0687,0.985,0.0098
23.0625,68.6875,"Gujarat, Daman & Diu",41A12SE,0.0,17732.2074,0.0,0.0
23.0625,68.8125,"Gujarat, Daman & Diu",41A16SW,0.0,17732.2074,0.0,0.0
23.0625,68.9375,"Gujarat, Daman & Diu",41A16SE,0.0,17732.2074,0.0,0.0
23.0625,70.5625,"Gujarat, Daman & Diu",41I12SW,5934.1559,17732.2074,33.4654,0.3347
22.9375,68.9375,"Gujarat, Daman & Diu",41B13NE,0.0,17748.2626,0.0,0.0
22.9375,69.0625,"Gujarat, Daman & Diu",41F01NW,0.0,17748.2626,0.0,0.0
22.9375,69.1875,"Gujarat, Daman & Diu",41F01NE,0.0,17748.2626,0.0,0.0
22.9375,69.9375,"Gujarat, Daman & Diu",41F13NE,141.3415,17748.2626,0.7964,0.008
22.9375,70.4375,"Gujarat, Daman & Diu",41J05NE,4468.6246,17748.2626,25.1778,0.2518
22.9375,70.5625,"Gujarat, Daman & Diu",41J09NW,233.1325,17748.2626,1.3136,0.0131
22.8125,69.1875,"Gujarat, Daman & Diu",41F01SE,0.0,17764.2342,0.0,0.0
22.8125,69.3125,"Gujarat, Daman & Diu",41F05SW,2.3115,17764.2342,0.013,0.0001
22.8125,69.4375,"Gujarat, Daman & Diu",41F05SE,103.7719,17764.2342,0.5842,0.0058
22.8125,69.5625,"Gujarat, Daman & Diu",41F09SW,430.1643,17764.2342,2.4215,0.0242
22.8125,69.6875,"Gujarat, Daman & Diu",41F09SE,1436.1616,17764.2342,8.0846,0.0808
22.8125,69.8125,"Gujarat, Daman & Diu",41F13SW,164.45,17764.2342,0.9257,0.0093
22.8125,70.4375,"Gujarat, Daman & Diu",41J05SE,1161.6862,17764.2342,6.5395,0.0654
22.6875,70.1875,"Gujarat, Daman & Diu",41J02NE,835.5141,17780.1222,4.6991,0.047
22.6875,70.3125,"Gujarat, Daman & Diu",41J06NW,1277.3833,17780.1222,7.1843,0.0718
22.5625,69.9375,"Gujarat, Daman & Diu",41F14SE,4360.3242,17795.9265,24.5018,0.245
22.5625,70.0625,"Gujarat, Daman & Diu",41J02SW,2659.4542,17795.9265,14.9442,0.1494
22.5625,70.1875,"Gujarat, Daman & Diu",41J02SE,829.2787,17795.9265,4.6599,0.0466
22.4375,68.9375,"Gujarat, Daman & Diu",41B15NE,0.0,17811.6471,0.0,0.0
22.4375,69.0625,"Gujarat, Daman & Diu",41F03NW,201.4757,17811.6471,1.1311,0.0113
22.4375,69.1875,"Gujarat, Daman & Diu",41F03NE,34.6416,17811.6471,0.1945,0.0019
22.4375,69.6875,"Gujarat, Daman & Diu",41F11NE,1981.1193,17811.6471,11.1226,0.1112
22.4375,69.8125,"Gujarat, Daman & Diu",41F15NW,1044.6897,17811.6471,5.8652,0.0587
22.4375,69.9375,"Gujarat, Daman & Diu",41F15NE,1119.5188,17811.6471,6.2853,0.0629
22.3125,68.9375,"Gujarat, Daman & Diu",41B15SE,0.0,17827.2838,0.0,0.0
22.3125,69.1875,"Gujarat, Daman & Diu",41F03SE,552.3906,17827.2838,3.0986,0.031
22.3125,69.3125,"Gujarat, Daman & Diu",41F07SW,187.4027,17827.2838,1.0512,0.0105
22.3125,69.4375,"Gujarat, Daman & Diu",41F07SE,568.5046,17827.2838,3.189,0.0319
22.3125,72.5625,"Gujarat, Daman & Diu",46B11SW,0.0,17827.2838,0.0,0.0
22.3125,69.5625,"Gujarat, Daman & Diu",41F11SW,1940.5438,17827.2838,10.8852,0.1089
22.3125,72.4375,"Gujarat, Daman & Diu",46B07SE,2.8997,17827.2838,0.0163,0.0002
22.3125,69.6875,"Gujarat, Daman & Diu",41F11SE,220.252,17827.2838,1.2355,0.0124
22.3125,72.3125,"Gujarat, Daman & Diu",46B07SW,0.0,17827.2838,0.0,0.0
22.1875,68.9375,"Gujarat, Daman & Diu",41B16NE,0.0,17842.8367,0.0,0.0
22.1875,69.0625,"Gujarat, Daman & Diu",41F04NW,0.0,17842.8367,0.0,0.0
22.1875,72.6875,"Gujarat, Daman & Diu",46B12NE,0.0,17842.8367,0.0,0.0
22.1875,72.5625,"Gujarat, Daman & Diu",46B12NW,50.4364,17842.8367,0.2827,0.0028
22.1875,72.3125,"Gujarat, Daman & Diu",46B08NW,1378.4498,17842.8367,7.7255,0.0773
22.1875,72.1875,"Gujarat, Daman & Diu",46B04NE,0.0,17842.8367,0.0,0.0
22.0625,69.0625,"Gujarat, Daman & Diu",41F04SW,0.0,17858.3056,0.0,0.0
22.0625,69.1875,"Gujarat, Daman & Diu",41F04SE,0.0,17858.3056,0.0,0.0
22.0625,72.5625,"Gujarat, Daman & Diu",46B12SW,547.7291,17858.3056,3.0671,0.0307
22.0625,72.1875,"Gujarat, Daman & Diu",46B04SE,597.566,17858.3056,3.3462,0.0335
21.9375,69.1875,"Gujarat, Daman & Diu",41G01NE,0.0,17873.6905,0.0,0.0
21.9375,69.3125,"Gujarat, Daman & Diu",41G05NW,0.0,17873.6905,0.0,0.0
21.9375,72.1875,"Gujarat, Daman & Diu",46C01NE,887.4858,17873.6905,4.9653,0.0497
21.8125,69.3125,"Gujarat, Daman & Diu",41G05SW,0.0,17888.9914,0.0,0.0
21.8125,69.4375,"Gujarat, Daman & Diu",41G05SE,0.0,17888.9914,0.0,0.0
21.6875,69.4375,"Gujarat, Daman & Diu",41G06NE,0.0,17904.2081,0.0,0.0
21.6875,72.5625,"Gujarat, Daman & Diu",46C10NW,579.7879,17904.2081,3.2383,0.0324
